weight,quantity,unit,supplier,material_id,quality,grade,thickness_mm,width_mm,description_i18n,finish_i18n,composition,additional_info,coating,length_mm
6792,,KG,source3,09203290318d3bab172b959ff07344b8,,HDC,0.65,1080,{'fr': 'HDC 0.65x1080 XCV G7/7 MB O'},{'fr': 'G7/7'},{},"{'additional': 'MB', 'supplier_article': 11007912, 'supplier_id': 2165167}",XCV,
18100,,KG,source3,0ba2f660fb190fb1cc793911d54a0ba2,,HDC,0.75,1010,{'fr': 'HDC 0.75x1010 GXES G10/10 MB O'},{'fr': 'G10/10'},{},"{'additional': 'MB', 'supplier_article': 11006843, 'supplier_id': 2176549}",GXES,
2035,,KG,source3,115c0eaa507c874ecec6c6fc32421b02,,,,,{'fr': '2ND QUALITY HDC SLIT'},{'fr': None},{},"{'additional': None, 'supplier_article': 20000036, 'supplier_id': 2141631}",,
1075,,KG,source3,116eaeca1d16cf5e7b1b43becee449d2,,,,,{'fr': '2ND QUALITY CR SLIT'},{'fr': None},{},"{'additional': None, 'supplier_article': 20000008, 'supplier_id': 1967587}",,
1320,,KG,source3,14ee8da850df75780ad2e4c5c1afa998,,DRP,1.8,420,{'fr': 'DRP 1.8x420x121 YMAGINE H500 O'},{'fr': 'H500'},{},"{'additional': 'O', 'supplier_article': 13012123, 'supplier_id': 1810123}",YMAGINE,121
13040,,KG,source3,153178e8dd3a792381b1f0d5cc6d8aef,,HDC,1,1432,{'fr': 'HDC 1x1432 HX380LAD+Z 140 MB O'},{'fr': 'MB'},{},"{'additional': 'O', 'supplier_article': 11007240, 'supplier_id': 2153593}",HX380LAD+Z 140,
605,1.0,KG,source2,181238c5fab4135c7fd9d07526447dcf,,DX51D,4.0,165.0,"{'nl': 'MAATVOERING(dikte;breedte;leng) ', 'en': ' Dimensions (thickness, width, length)'}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",Z275,
9500,,KG,source3,194c64db037967364ab825a3279fb516,,HRP,1.8,815,{'fr': 'HRP 1.8x815 YMPRESS S460MC LS O'},{'fr': 'S460MC'},{},"{'additional': 'LS', 'supplier_article': 36000274, 'supplier_id': 2118606}",YMPRESS,
6812,,KG,source3,196c641be871e82fd0a93bb3263853aa,,HDC,0.65,1080,{'fr': 'HDC 0.65x1080 XCV G7/7 MB O'},{'fr': 'G7/7'},{},"{'additional': 'MB', 'supplier_article': 11007912, 'supplier_id': 2306268}",XCV,
18620,,KG,source3,1a9c161889c9d519ff863f9d9f82f6c2,,HDC,0.75,1010,{'fr': 'HDC 0.75x1010 GXES G10/10 MB O'},{'fr': 'G10/10'},{},"{'additional': 'MB', 'supplier_article': 11006843, 'supplier_id': 2141400}",GXES,
10540,1.0,KG,source2,1c79896e0b61d0a9911d396cfc944fc6,,ZM175,2.0,1070.0,{'en': 'white rust '},{'de': 'MAC'},{},"{'additional': None, 'article_id': None}",,
12530,,KG,source3,1d0775052a62d19d141e02a880f9fd4c,,HDC,0.75,1270,{'fr': 'HDC 0.75x1270 GXE G6/6 MB O'},{'fr': 'G6/6'},{},"{'additional': 'MB', 'supplier_article': 11006841, 'supplier_id': 2231027}",GXE,
19750,,KG,source2,1eb66e838673c97b3c414f30f3cd5501,,DX51D,1.0,1250.0,{'de': '20-26 MU'},{'de': 'Ma-C'},{},"{'additional': 'AFP', 'article_id': None}",AZ150,
25100,1.0,KG,source2,2160dd6522a05f5589dd368cbcada420,,,,,{'en': 'winding  problems'},{'de': None},{},"{'additional': None, 'article_id': None}",,
