quality,grade,thickness_mm,width_mm,description_i18n,finish_i18n,composition,supplier,additional_info,material_id,coating,length_mm
2nd,C100S,2.23,1075.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.007, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0006, 'Cr': 0.188, 'S': 0.0015, 'Cu': 0.008, 'Mn': 0.465, 'Mo': 0.007, 'N': 0.004, 'Nb': 0.004, 'Ni': 0.015, 'P': 0.012, 'Si': 0.221, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00285, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",7d74ec480461d9ef5a057e29e688ffc2,,
2nd,C100S,2.23,1074.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.004, 'Ars': 0.002, 'B': 0.0002, 'C': 1.03, 'Ca': 0.0005, 'Cr': 0.171, 'S': 0.0015, 'Cu': 0.009, 'Mn': 0.405, 'Mo': 0.007, 'N': 0.0035, 'Nb': 0.002, 'Ni': 0.013, 'P': 0.0105, 'Si': 0.226, 'Sn': 0.005, 'STA': 0, 'Ti': 0.00264, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",f602979950a6dd5580114f3715e112b4,,
2nd,C100S,2.23,1074.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.004, 'Ars': 0.002, 'B': 0.0002, 'C': 1.03, 'Ca': 0.0005, 'Cr': 0.171, 'S': 0.0015, 'Cu': 0.009, 'Mn': 0.405, 'Mo': 0.007, 'N': 0.0035, 'Nb': 0.002, 'Ni': 0.013, 'P': 0.0105, 'Si': 0.226, 'Sn': 0.005, 'STA': 0, 'Ti': 0.00264, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",f602979950a6dd5580114f3715e112b4,,
2nd,C100S,2.23,1074.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.004, 'Ars': 0.002, 'B': 0.0002, 'C': 1.03, 'Ca': 0.0005, 'Cr': 0.171, 'S': 0.0015, 'Cu': 0.009, 'Mn': 0.405, 'Mo': 0.007, 'N': 0.0035, 'Nb': 0.002, 'Ni': 0.013, 'P': 0.0105, 'Si': 0.226, 'Sn': 0.005, 'STA': 0, 'Ti': 0.00264, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",f602979950a6dd5580114f3715e112b4,,
2nd,C100S,2.23,1079.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.007, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0006, 'Cr': 0.188, 'S': 0.0015, 'Cu': 0.008, 'Mn': 0.465, 'Mo': 0.007, 'N': 0.004, 'Nb': 0.004, 'Ni': 0.015, 'P': 0.012, 'Si': 0.221, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00285, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",41d31d5969a01fe1e5622b5136ad85c8,,
2nd,C100S,2.24,1074.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",29741983e0e0daf84879e58306213e01,,
2nd,C100S,2.24,1074.0,{'de': 'Kantenfehler - FS-Kantenrisse'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",dc557128a4243620dee32a3b8f38cc27,,
2nd,C100S,2.24,1074.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",29741983e0e0daf84879e58306213e01,,
2nd,C100S,2.25,1032.0,{'de': 'Sollmasse (Gewicht) unterschritten'},{'de': 'gebeizt und geglüht'},"{'AG': 16.11, 'Al': 0.007, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0006, 'Cr': 0.188, 'S': 0.0015, 'Cu': 0.008, 'Mn': 0.465, 'Mo': 0.007, 'N': 0.004, 'Nb': 0.004, 'Ni': 0.015, 'P': 0.012, 'Si': 0.221, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00285, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 333.6, 'RM': 601.7}",d0030dbbb41a049324ee149e21fe063f,,
2nd,C100S,2.251,1031.5,{'de': 'Längs- oder Querrisse'},{'de': 'gebeizt und geglüht'},"{'AG': 15.05, 'Al': 0.007, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0006, 'Cr': 0.188, 'S': 0.0015, 'Cu': 0.008, 'Mn': 0.465, 'Mo': 0.007, 'N': 0.004, 'Nb': 0.004, 'Ni': 0.015, 'P': 0.012, 'Si': 0.221, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00285, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 368.9, 'RM': 606.2}",3936cc522fdf33181b13db757b91b88c,,
